Post ID,Fanspage ID,Political,Post time,Reaction,Image_file name
164872546882726_3847856335250977,164872546882726,Pan blue,1620174103,31869,"['164872546882726_3847856335250977_1.jpg', '164872546882726_3847856335250977_2.jpg']"
257351717716391_3920662948051898,257351717716391,Pan green,1620187757,1628,"['257351717716391_3920662948051898_1.jpg', '257351717716391_3920662948051898_2.jpg']"
202019903151149_4369941366358961,202019903151149,Pan blue,1620226127,184,"['202019903151149_4369941366358961_1.jpg', '202019903151149_4369941366358961_2.jpg']"
1588286501409955_3214139665491289,1588286501409955,Pan green,1620213040,177,"['1588286501409955_3214139665491289_1.jpg', '1588286501409955_3214139665491289_2.jpg']"
1488156861398934_2982993438581928,1488156861398934,Pan green,1620222295,109,"['1488156861398934_2982993438581928_3.jpg', '1488156861398934_2982993438581928_4.jpg', '1488156861398934_2982993438581928_5.jpg', '1488156861398934_2982993438581928_6.jpg']"
705014679580108_3913347482080129,705014679580108,Pan green,1620219790,1584,['705014679580108_3913347482080129_1.jpg']
136312969811613_3740345939408280,136312969811613,Pan blue,1620212509,11,['136312969811613_3740345939408280_1.jpg']
826778450695016_4204408962931931,826778450695016,Pan green,1620224309,46,['826778450695016_4204408962931931_1.jpg']
1573636192933234_2590299467933563,1573636192933234,Pan blue,1620276792,670,['1573636192933234_2590299467933563_1.jpg']
102499747817312_642555893811692,102499747817312,Pan green,1620296853,4256,['102499747817312_642555893811692_1.jpg']
117615981672812_3518667584900951,117615981672812,Pan green,1620270307,350,['117615981672812_3518667584900951_1.jpg']
300320033502806_1727883857413076,300320033502806,Pan blue,1620296489,331,['300320033502806_1727883857413076_1.jpg']
988612857845062_4273347176038264,988612857845062,Pan blue,1620291600,1471,"['988612857845062_4273347176038264_1.jpg', '988612857845062_4273347176038264_2.jpg', '988612857845062_4273347176038264_3.jpg', '988612857845062_4273347176038264_4.jpg']"
2778474698892451_5408146482591913,2778474698892451,Pan green,1620309165,1128,['2778474698892451_5408146482591913_1.jpg']
192165170847259_4135058923224511,192165170847259,Pan blue,1620259220,2169,['192165170847259_4135058923224511_1.jpg']
1089880044394285_3956770704371857,1089880044394285,Pan blue,1620286336,525,['1089880044394285_3956770704371857_3.jpg']
